ticker;shortName;sector;industry;last_price;range_52_weeks;averageVolume10days;dividendYield;exDividendDate;profitMargins;trailingPE;forwardPE;trailingEps;forwardEps;beta;marketCap;mostRecentQuarter;currency;modification_date
argx.br;ARGENX SE;Healthcare;Biotechnology;348.29998779296875;224.10 - 405.50;55940;;;0.0;;-38.274723;-11.029;-9.1;0.65374;19503196160.0;1664496000.0;EUR;1672436564
hega.as;HEDOSOPHIA EUROPEAN GROWTH ORDI;Financial Services;Shell Companies;9.899999618530272;9.45 - 10.00;0;;;0.0;;;;;;455399968.0;1656547200.0;EUR;1672436564
asy.pa;ASSYSTEM;Industrials;Engineering & Construction;40.59999847412109;30.85 - 42.69;4397;0.025;1657065600.0;0.10893;14.65704;14.763636;2.77;2.75;1.028985;602146688.0;1656547200.0;EUR;1672436564
holn.pa;Holcim Ltd;Basic Materials;Building Materials;48.79999923706055;36.87 - 50.60;40024;0.0431;1652054400.0;0.09033;11.296296;;4.32;;1.093615;29673035776.0;1656547200.0;EUR;1672436564
gds.pa;RAMSAY GENERALE DE SANTE;Healthcare;Medical Care Facilities;18.299999237060547;17.35 - 26.10;667;;1417478400.0;0.02753;26.142857;;0.7;;-0.000391;2019661056.0;1656547200.0;EUR;1672436564
ccn.pa;CRCAM NORM.SEINE;Financial Services;Banks—Regional;68.0;64.00 - 98.39;326;0.0625;1652659200.0;0.259;7.1503677;;9.51;;0.80445;237200320.0;1640908800.0;EUR;1672436564
bui.pa;BARBARA BUI;Consumer Cyclical;Apparel Manufacturing;8.0;6.15 - 14.00;6;;1252972800.0;-0.01669;;;-0.679;;0.95848;5279032.0;1656547200.0;EUR;1672436564
rou.br;ROULARTA;Communication Services;Publishing;17.75;16.10 - 21.60;515;0.057800002;1653868800.0;0.04797;13.148148;7.0158105;1.35;2.53;0.60987;208594448.0;1656547200.0;EUR;1672436564
fou.br;FOUNTAIN;Consumer Defensive;Food Distribution;1.149999976158142;0.82 - 1.42;1017;;1340582400.0;-0.09052;;;-0.371;;-0.186447;6873883.0;1640908800.0;EUR;1672436564
asc.br;ASCENCIO;Real Estate;REIT—Retail;52.5;44.65 - 53.80;3359;0.0754;1675641600.0;1.87722;3.8209608;10.714286;13.74;4.9;0.528006;346288960.0;1664496000.0;EUR;1672436564
rec.br;RECTICEL;Basic Materials;Specialty Chemicals;15.539999961853027;12.36 - 22.25;48851;0.0185;1654128000.0;0.055859998;19.185184;23.907694;0.81;0.65;1.470818;868400064.0;1656547200.0;EUR;1672436564
ca.pa;CARREFOUR;Consumer Defensive;Grocery Stores;15.640000343322754;13.85 - 20.80;1628836;0.033099998;1654560000.0;0.0134000005;11.848485;8.937143;1.32;1.75;0.549157;11666736128.0;1656547200.0;EUR;1672436564
tipi.pa;TIPIAK;Consumer Defensive;Packaged Foods;54.5;49.60 - 71.25;42;0.03;1656892800.0;0.01459;14.72973;11.449579;3.7;4.76;0.175871;48911296.0;1656547200.0;EUR;1672436564
vct.pa;VICAT;Basic Materials;Building Materials;23.450000762939453;19.80 - 37.57;26923;0.0698;1651190400.0;0.056789998;5.583334;6.532034;4.2;3.59;1.118683;1037833728.0;1656547200.0;EUR;1672436564
porf.as;KONINKLIJKE PORCELEYNE FLES;Consumer Defensive;Household & Personal Products;12.5;9.75 - 14.40;17;;1558569600.0;0.07373;26.595745;;0.47;;0.275754;11944788.0;1656547200.0;EUR;1672436564
nr21.pa;NR 21;Consumer Cyclical;Apparel Retail;128.0;124.00 - 259.90;0;;;0.0;;;;;;9423104.0;;EUR;1672436564
tran.pa;TRANSITION SHARES;Financial Services;Shell Companies;9.850000381469728;9.60 - 10.00;383;;;0.0;;;;;;;;EUR;1672436564
ctca1.as;CLIMATE TRANSITION CAPITAL ACQU;Financial Services;Shell Companies;9.850000381469728;9.55 - 10.00;0;;;0.0;;;;;;46691464.0;1656547200.0;EUR;1672436564
alo.pa;ALSTOM;Industrials;Railroads;22.81999969482422;16.04 - 34.41;1177175;0.011;1658275200.0;-0.03583;;10.971154;-1.559;2.08;1.005875;8585248768.0;1664496000.0;EUR;1672436564
oxur.br;OXURION;Healthcare;Biotechnology;0.0189999993890523;0.01 - 1.95;25391683;;;0.0;;-0.04042553;-0.759;-0.47;0.381903;7810367.0;1640908800.0;EUR;1672436564
rco.pa;REMY COINTREAU;Consumer Defensive;Beverages—Wineries & Distilleries;157.60000610351562;151.00 - 215.40;67252;0.0117999995;1658880000.0;0.16186;94.25838;42.139038;1.672;3.74;0.203679;7769759232.0;1648684800.0;EUR;1672436564
akom.pa;AERKOMM INC;Technology;Communication Equipment;4.059999942779541;4.06 - 19.40;0;;;0.0;;;-0.625;;1.173491;40068788.0;1664496000.0;EUR;1672436564
fly.pa;FONCIERE LYONNAISE;Real Estate;REIT—Office;84.4000015258789;76.00 - 91.60;23;0.053400002;1650412800.0;1.85638;13.656959;28.61017;6.18;2.95;0.382113;3608184576.0;1656547200.0;EUR;1672436564
heio.as;HEINEKEN HOLDING;Consumer Defensive;Beverages—Brewers;72.05000305175781;62.40 - 85.20;76983;0.0208;1659484800.0;0.07;;16.26411;-0.36;4.43;0.706033;20732389376.0;1656547200.0;EUR;1672436564
malt.pa;MALTERIES FCO-BEL.;Consumer Defensive;Beverages—Brewers;535.0;470.00 - 765.00;20;;1608681600.0;0.23534;15.396569;;34.748;;0.414634;265351440.0;1640908800.0;EUR;1672436564
fde.pa;FRANCAISE ENERGIE;Energy;Oil & Gas E&P;39.400001525878906;28.80 - 68.90;17930;;;0.27895;;;;;0.822421;;1656547200.0;EUR;1672436564
xior.br;XIOR;Real Estate;REIT—Diversified;28.89999961853028;25.45 - 52.90;127109;0.056599997;1684713600.0;2.3127;;14.029126;-1.176;2.06;0.720154;729889728.0;1656547200.0;EUR;1672436564
ags.br;AGEAS;Financial Services;Insurance—Diversified;41.41999816894531;33.70 - 50.36;428748;0.1228;1666742400.0;0.09601;6.8349833;7.6988845;6.06;5.38;0.783483;7690036736.0;1656547200.0;EUR;1672436564
lr.pa;LEGRAND;Industrials;Electrical Equipment & Parts;74.81999969482422;64.44 - 104.45;436424;0.0216;1653868800.0;0.12725;29.56144;19.793652;2.531;3.78;1.007702;19958159360.0;1656547200.0;EUR;1672436564
ctpnv.as;CTP NV;Real Estate;Real Estate—Development;11.039999961853027;9.25 - 19.30;260285;0.0421;1660262400.0;2.7135801;0.7231757;;15.266;;;4383067648.0;1656547200.0;EUR;1672436564
sgro.pa;SEGRO PLC;Real Estate;REIT—Industrial;11.300000190734863;11.30 - 11.30;0;0.0155;1660176000.0;6.46984;7.957747;;1.42;;0.732991;19843026944.0;1656547200.0;EUR;1672436564
