ticker;shortName;sector;industry;last_price;range_52_weeks;averageVolume10days;dividendYield;exDividendDate;profitMargins;trailingPE;forwardPE;trailingEps;forwardEps;beta;marketCap;mostRecentQuarter;currency;modification_date
altti.pa;TRAVEL TECHNOLOGY;Technology;Software—Application;3.440000057220459;1.75 - 3.50;306.0;0.020299999;1670976000;0.18007;31.272728;N/A;0.11;N/A;0.201912;26969944.0;1656547200;EUR;1676822585
alact.pa;ACTICOR BIOTECH;Healthcare;Biotechnology;9.819999694824219;5.10 - 11.00;6668.0;N/A;N/A;0.0;N/A;N/A;-1.621;N/A;N/A;107276624.0;1656547200;EUR;1676822585
almun.pa;MUNIC;Technology;Software—Infrastructure;3.1600000858306885;2.40 - 3.90;19330.0;N/A;N/A;0.04585;21.066666;158.00002;0.15;0.02;2.133253;28850516.0;1656547200;EUR;1676822585
alhop.pa;HOPSCOTCH GROUPE;Communication Services;Advertising Agencies;19.899999618530273;6.40 - 20.20;1501.0;N/A;1562544000;0.03636;N/A;N/A;N/A;N/A;1.363288;51760296.0;1656547200;EUR;1676822585
aldls.pa;D.L.S.I.;Industrials;Staffing & Employment Services;12.100000381469727;8.12 - 13.70;558.0;0.024600001;1656547200;0.02271;N/A;4.432235;-0.185;2.73;1.471892;30522250.0;1656547200;EUR;1676822585
algil.pa;GROUPE GUILLIN;Consumer Cyclical;Packaging & Containers;24.399999618530273;16.68 - 24.75;2592.0;0.032;1656374400;0.060399998;8.74552;8.84058;2.79;2.76;0.9239;451046208.0;1656547200;EUR;1676822585
alent.pa;ENTREPARTICULIERS;Communication Services;Internet Content & Information;2.130000114440918;1.72 - 5.30;2674.0;N/A;1373241600;0.3121;38.035717;N/A;0.056;N/A;-0.118929;7315954.0;1640908800;EUR;1676822585
alnev.pa;NEOVACS;Healthcare;Biotechnology;0.0010000000474974513;0.00 - 2.08;29249851.0;N/A;N/A;0.0;N/A;0.010000001;-0.057;0.1;-0.040535;55322.0;1656547200;EUR;1676822585
alvet.pa;THERAVET;Healthcare;Biotechnology;2.7699999809265137;2.39 - 4.97;661.0;N/A;N/A;-0.90179;N/A;N/A;N/A;N/A;N/A;8930314.0;1656547200;EUR;1676822585
albi.pa;GASCOGNE;Consumer Cyclical;Packaging & Containers;4.389999866485596;2.80 - 4.50;2594.0;N/A;1216598400;0.05775;8.010949;N/A;0.548;N/A;0.621414;106588320.0;1656547200;EUR;1676822585
